bio,9,2016-12-07
ak,3,2016-12-07
grged,14,2016-12-08
grged,15,2016-12-08
bio,5,2016-12-08
gs,9,2016-12-08
ak,8,2016-12-08
grged,16,2016-12-09
bio,4,2016-12-09
bio,6,2016-12-09
ak,5,2016-12-09
grbld,1,2016-12-12
grbld,2,2016-12-12
bio,10,2016-12-12
gs,6,2016-12-12
ak,4,2016-12-12
grbld,3,2016-12-13
bio,11,2016-12-13
bio,12,2016-12-13
ak,10,2016-12-13
grbld,8,2016-12-14
grbld,9,2016-12-14
bio,13,2016-12-14
gs,12,2016-12-14
ak,11,2016-12-14
grbld,5,2016-12-15
bio,14,2016-12-15
bio,15,2016-12-15
ak,13,2016-12-15
grbld,4,2016-12-16
grbld,6,2016-12-16
bio,16,2016-12-16
gs,15,2016-12-16
ak,14,2016-12-16
grbld,10,2016-12-19
bio,1,2016-12-19
bio,2,2016-12-19
gs,16,2016-12-19
grbld,11,2016-12-20
grbld,12,2016-12-20
bio,3,2016-12-20
